NO;ACCREDITATION;DOI;TITLE;JOURNAL;PUBLISHER;DATE PUBLISH;
103;S5;DOI: 10.33648/ijoaser.v3i3.65;The Dialogue of Multicultural Education and Harmony in Prosperity Based on the Qurâan;International Journal on Advanced Science, Education, and Religion;Sekolah Tinggi Agama Islam Al-Furqan, Makassar - Indonesia;2020-11-17;
104;S3;DOI: 10.24252/jdi.v8i3.17837;APPLICATION OF INTEGRATED LEARNING STRATEGY OF PROFIT NETWORK IN INCREASING LEARNING OUTCOMES OF AL QUR'AN HADIS (Case Study of Class XI MAN IC Gowa);Jurnal Diskursus Islam;Pascasarjana UIN Alauddin Makassar;2020-12-30;
105;S3;DOI: 10.24252/mapan.2020v8n1a10;EFFECTIVENESS OF DISCOVERY LEARNING MODEL ON STUDENTS' MATHEMATICAL PROBLEM SOLVING ABILITY;MaPan : Jurnal Matematika dan Pembelajaran;Department of Mathematics Education Faculty of Tarbiyah and Teacher Training Universitas Islam Negeri Alauddin Makassar;2020-06-29;
106;S4;DOI: 10.24252/jpf.v8i1.7837;ANALISIS PENENTUAN STANDAR NILAI KRITERIA KETUNTASAN MINIMAL (KKM) MATA PELAJARAN FISIKA KELAS XI SMAN 17 MAKASSAR;JPF (Jurnal Pendidikan Fisika) Universitas Islam Negeri Alauddin Makassar;Pendidikan Fisika UIN Alauddin Makassar;2020-03-16;
107;-;DOI: 10.24252/asma.v2i1.12429;PERBANDINGAN KEMAMPUAN KOMUNIKASI MATEMATIS SISWA YANG MENGGUNAKAN METODE SILIH TANYA BERBANTUAN KARTU MODEL DAN METODE MAKE A MATCH;Al Asma: Journal of Islamic Education;Faculty of Tarbiyah and Teacher Training;2020-05-31;
108;-;DOI: 10.24252/ajme.v2i1.12430;Perbandingan Kemampuan Pemahaman Konsep Matematis Siswa antara Media Macromedia Flash dan Media Powerpoint dalam Model Pembelajaran Kooperatif Tipe Two Stay Two Stray;Alauddin Journal of Mathematics Education;Department of Mathematics Education;2020-05-31;
109;S4;DOI: 10.24252/idaarah.v4i1.13602;KESESUAIAN ANTARA RENCANA PELAKSANAAN PEMBELAJARAN DENGAN PELAKSANAAN PEMBELAJARAN PADA GURU MATEMATIKA KURIKULUM 2013;Idaarah: Jurnal Manajemen Pendidikan;Universitas Islam Negeri Alauddin Makassar;2020-06-21;
110;S3;DOI: 10.26858/jdm.v8i2.9148;The Cooperative Learning Comparison of Student Teams Achievement Division Type and Teams Assisted Individualization type Toward The Studentsâ Mathematical Communication Skill;Daya Matematis: Jurnal Inovasi Pendidikan Matematika;Universitas Negeri Makassar;2020-09-16;
111;S2;DOI: 10.24042/tadris.v5i1.6283;COVID-19 Outbreak on Environment: Profile of Islamic University Students in HOTS-AEP-COVID-19 and PEB-COVID-19;Tadris: Jurnal Keguruan dan Ilmu Tarbiyah;Universitas Islam Negeri Raden Intan Lampung;2020-06-30;
112;S4;DOI: 10.24252/teknosains.v14i1.12940;PENGELOMPOKAN KABUPATEN/KOTA DI SULAWESI SELATAN BERDASARKAN INDIKATOR KESEHATAN DENGAN MENGGUNAKAN METODE AVERAGE LINKAGE;Teknosains;Fakultas Sains dan Teknologi Universitas Islam Negeri Alauddin Makassar;2020-01-30;
113;S5;DOI: 10.24252/msa.v8i1.14569;Estimasi Kejadian Covid-19 Secara Real Time menggunakan R Programming;Jurnal MSA ( Matematika dan Statistika serta Aplikasinya);Universitas Islam Negeri Alauddin Makassar;2020-07-06;
114;S5;DOI: 10.24252/msa.v8i2.17409;Pemodelan Jumlah Kematian Ibu di Provinsi Sulawesi Selatan Menggunakan Regresi Binomial Negatif;Jurnal MSA ( Matematika dan Statistika serta Aplikasinya);Universitas Islam Negeri Alauddin Makassar;2020-12-23;
115;S4;DOI: 10.24252/aldev.v2i1.13273;KEKUATAN ALAT BUKTI KETERANGAN AHLI KEDOKTERAN JIWA DALAM PERADILAN PIDANA;Alauddin Law Development Journal (ALDEV);Law Department, Universitas Islam Negeri Alauddin Makassar;2020-03-25;
116;S4;DOI: 10.24252/aldev.v2i2.15357;Penyelesaian Ganti Kerugian Asuransi Kecelakaan Terhadap Penumpang Kendaraan Umum;Alauddin Law Development Journal (ALDEV);Law Department, Universitas Islam Negeri Alauddin Makassar;2020-08-16;
117;S4;DOI: 10.24252/aldev.v2i3.14431;Peran dan Tanggung Jawab Legal Officer;Alauddin Law Development Journal (ALDEV);Law Department, Universitas Islam Negeri Alauddin Makassar;2020-11-21;
118;S4;DOI: 10.24252/aldev.v2i1.13268;PENERAPAN SANKSI PIDANA TERHADAP ANAK DI BAWAH UMUR PENGEMUDI KENDARAAN BERMOTOR YANG MENYEBABKAN KEMATIAN;Alauddin Law Development Journal (ALDEV);Law Department, Universitas Islam Negeri Alauddin Makassar;2020-03-19;
119;S4;DOI: 10.24252/aldev.v2i2.15385;Analisis Hukum Terhadap Tindak Pidana Begal Pemotong Tangan;Alauddin Law Development Journal (ALDEV);Law Department, Universitas Islam Negeri Alauddin Makassar;2020-08-16;
120;S4;DOI: 10.24252/al-risalah.v20i1.15328;CERMINAN LEGITIMASI PEMERINTAHAN ISLAM DI MASA PANDEMI;Al-Risalah;Universitas Islam Negeri Alauddin Makassar;2020-08-29;
121;S6;DOI: 10.24252/shautuna.v1i3.15465;"BATAS USIA PERNIKAHAN DALAM ISLAM; Analisis Ulama Mazhab Terhadap Batas Usia Nikah";Shautuna: Jurnal Ilmiah Mahasiswa Perbandingan Mazhab dan Hukum;Universitas Islam Negeri Alauddin Makassar;2020-07-22;
122;S5;DOI: 10.24252/elties.v2i1.10269;THE INFLUENCE OF WORD CHAIN GAME ON INCREASING THE EIGHTH GRADE STUDENTSâ VOCABULARY AT MTS BARANA JENEPONTO;ELTIES : English Language Teaching for EFL Learners;Universitas islam Negeri Alauddin Makassar;2020-03-29;
123;S5;DOI: 10.24252/elties.v2i2.12663;THE CORRELATION BETWEEN STUDENTSâ INTEREST AND THEIR READING COMPREHENSION LEVEL IN SHORT PASSAGES;ELTIES : English Language Teaching for EFL Learners;Universitas islam Negeri Alauddin Makassar;2020-09-30;
124;S5;DOI: 10.24252/msa.v8i2.14613;MODEL EPIDEMIK SIR PADA KASUS COVID-19 DI INDONESIA;Jurnal MSA ( Matematika dan Statistika serta Aplikasinya);Universitas Islam Negeri Alauddin Makassar;2020-12-23;
125;S5;DOI: 10.37888/bjra.v3i1.208;MENELAAH PERILAKU KEPATUHAN WAJIB PAJAK YANG TERDAFTAR PADA KPP PRATAMA PALU;Bongaya Journal for Research in Accounting (BJRA);STIEM BONGAYA;2020-05-31;
126;S5;DOI: 10.37888/bjra.v3i1.208;MENELAAH PERILAKU KEPATUHAN WAJIB PAJAK YANG TERDAFTAR PADA KPP PRATAMA PALU;Bongaya Journal of Research in Accounting (BJRA);STIEM BONGAYA;2020-05-31;
127;S2;DOI: 10.24042/albayan.v12i2.6468;Gender Mainstreaming in Arabic Literature;Jurnal Al Bayan : Jurnal Jurusan Pendidikan Bahasa Arab;Universitas Islam Negeri Raden Intan Lampung;2020-09-02;
128;S4;DOI: 10.24252/idaarah.v4i1.7894;PENDEKATAN SUPERVISI PENDIDIKAN;Idaarah: Jurnal Manajemen Pendidikan;Universitas Islam Negeri Alauddin Makassar;2020-06-08;
129;S5;DOI: 10.24252/al-qadau.v7i2.15330;Kaidah Pembagian Harta Warisan Masyarakat di Kecamatan Tellu Siattinge Kabupaten Bone dalam Pandangan Hukum Islam;Jurnal Al-Qadau: Peradilan dan Hukum Keluarga Islam;Jurusan Hukum Acara Peradilan dan Kekeluargaan;2020-12-24;
130;S4;DOI: 10.24252/al-risalah.v20i2.20690;POLEMICS 0F POWER IN ISLAMIC LAW PERSPECTIVE;Al-Risalah;Universitas Islam Negeri Alauddin Makassar;2020-11-18;
131;S6;DOI: 10.24252/shautuna.v1i3.14908;EFEKTIVITAS KURSUS CALON PENGANTIN TERHADAP PENCEGAHAN PERCERAIAN (Studi Kasus di Kantor Urusan Agama Ajangale Kabupaten Bone);Shautuna: Jurnal Ilmiah Mahasiswa Perbandingan Mazhab dan Hukum;Universitas Islam Negeri Alauddin Makassar;2020-07-22;
132;S1;DOI: 10.4308/hjb.27.1.8;Banana Flower-Insect Interaction: Alpha-Pinene as Potential Attractant for the Insect Vector of Banana Blood Disease;HAYATI Journal of Biosciences;Bogor Agricultural University, Indonesia;2020-01-01;
